Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1        Pavarde1       7         6         8         8         8         7         
Vardas2        Pavarde2       2         7         8         5         6         7         
Vardas3        Pavarde3       10        10        10        10        5         10        
Vardas4        Pavarde4       7         6         1         7         3         7         
Vardas5        Pavarde5       7         3         3         3         5         3         
Vardas6        Pavarde6       9         2         2         4         7         1         
Vardas7        Pavarde7       8         3         4         2         1         5         
Vardas8        Pavarde8       3         2         1         3         2         2         
Vardas9        Pavarde9       5         9         2         8         1         9         
Vardas10       Pavarde10      7         2         7         10        6         1         
Vardas11       Pavarde11      2         9         10        9         8         5         
Vardas12       Pavarde12      6         2         10        6         4         1         
Vardas13       Pavarde13      5         7         4         3         7         4         
Vardas14       Pavarde14      10        4         3         6         4         6         
Vardas15       Pavarde15      3         6         6         5         3         10        
Vardas16       Pavarde16      2         9         2         3         1         3         
Vardas17       Pavarde17      6         3         3         9         7         2         
Vardas18       Pavarde18      8         2         1         2         7         5         
Vardas19       Pavarde19      2         10        2         8         2         9         
Vardas20       Pavarde20      9         9         10        5         5         6         
Vardas21       Pavarde21      7         10        8         6         7         2         
Vardas22       Pavarde22      10        2         7         5         3         7         
Vardas23       Pavarde23      7         2         4         5         3         6         
Vardas24       Pavarde24      6         9         9         2         5         4         
Vardas25       Pavarde25      5         10        4         2         1         6         
Vardas26       Pavarde26      9         6         7         1         7         1         
Vardas27       Pavarde27      7         8         5         5         10        3         
Vardas28       Pavarde28      4         8         4         6         2         1         
Vardas29       Pavarde29      5         3         2         1         4         10        
Vardas30       Pavarde30      5         9         8         8         2         2         
Vardas31       Pavarde31      4         9         7         10        3         7         
Vardas32       Pavarde32      7         8         8         10        5         8         
Vardas33       Pavarde33      8         9         1         8         1         10        
Vardas34       Pavarde34      9         6         2         4         1         10        
Vardas35       Pavarde35      2         7         8         7         2         2         
Vardas36       Pavarde36      6         2         3         6         3         2         
Vardas37       Pavarde37      5         9         9         10        6         2         
Vardas38       Pavarde38      2         5         2         5         7         4         
Vardas39       Pavarde39      2         2         4         3         3         2         
Vardas40       Pavarde40      5         10        1         6         2         6         
Vardas41       Pavarde41      7         8         3         1         3         2         
Vardas42       Pavarde42      5         9         3         6         9         3         
Vardas43       Pavarde43      1         5         1         4         5         6         
Vardas44       Pavarde44      6         6         8         8         9         7         
Vardas45       Pavarde45      7         5         5         3         6         9         
Vardas46       Pavarde46      7         3         8         6         1         5         
Vardas47       Pavarde47      8         6         5         8         6         10        
Vardas48       Pavarde48      7         7         1         7         5         5         
Vardas49       Pavarde49      4         5         10        4         6         3         
Vardas50       Pavarde50      7         5         4         7         4         1         
Vardas51       Pavarde51      4         4         5         9         5         2         
Vardas52       Pavarde52      4         1         1         5         3         9         
Vardas53       Pavarde53      6         10        4         4         8         1         
Vardas54       Pavarde54      10        10        7         10        9         4         
Vardas55       Pavarde55      8         3         4         8         3         6         
Vardas56       Pavarde56      1         4         6         2         10        7         
Vardas57       Pavarde57      7         10        1         5         2         5         
Vardas58       Pavarde58      4         7         10        3         8         9         
Vardas59       Pavarde59      10        1         8         6         8         5         
Vardas60       Pavarde60      8         2         8         9         9         2         
Vardas61       Pavarde61      9         8         1         1         8         4         
Vardas62       Pavarde62      3         10        6         8         8         9         
Vardas63       Pavarde63      1         6         4         6         1         10        
Vardas64       Pavarde64      4         4         5         10        2         6         
Vardas65       Pavarde65      1         9         10        1         10        1         
Vardas66       Pavarde66      9         9         1         5         8         8         
Vardas67       Pavarde67      5         7         1         1         3         5         
Vardas68       Pavarde68      9         2         6         6         9         3         
Vardas69       Pavarde69      10        4         6         10        4         2         
Vardas70       Pavarde70      4         10        6         4         10        7         
Vardas71       Pavarde71      4         1         3         8         4         8         
Vardas72       Pavarde72      10        4         9         8         9         7         
Vardas73       Pavarde73      5         3         8         4         9         1         
Vardas74       Pavarde74      1         9         10        10        6         7         
Vardas75       Pavarde75      2         9         1         8         1         5         
Vardas76       Pavarde76      7         8         8         6         5         7         
Vardas77       Pavarde77      6         4         1         2         2         7         
Vardas78       Pavarde78      2         2         5         2         8         8         
Vardas79       Pavarde79      3         7         9         5         3         2         
Vardas80       Pavarde80      5         7         10        2         10        4         
Vardas81       Pavarde81      7         10        5         7         4         9         
Vardas82       Pavarde82      7         2         10        3         1         7         
Vardas83       Pavarde83      1         6         10        4         1         10        
Vardas84       Pavarde84      1         8         4         2         9         7         
Vardas85       Pavarde85      6         10        5         6         2         6         
Vardas86       Pavarde86      2         6         3         1         6         4         
Vardas87       Pavarde87      7         4         2         4         4         10        
Vardas88       Pavarde88      5         8         2         10        6         9         
Vardas89       Pavarde89      4         6         5         4         7         10        
Vardas90       Pavarde90      3         10        8         5         2         4         
Vardas91       Pavarde91      5         10        10        4         10        10        
Vardas92       Pavarde92      1         9         6         2         3         5         
Vardas93       Pavarde93      10        8         6         9         7         6         
Vardas94       Pavarde94      6         5         7         9         2         6         
Vardas95       Pavarde95      1         8         4         2         1         4         
Vardas96       Pavarde96      10        5         3         7         10        6         
Vardas97       Pavarde97      7         7         9         5         7         8         
Vardas98       Pavarde98      9         9         9         1         5         7         
Vardas99       Pavarde99      5         5         1         5         6         6         
Vardas100      Pavarde100     1         3         6         10        10        1         
Vardas101      Pavarde101     9         5         4         7         9         2         
Vardas102      Pavarde102     3         7         2         9         4         4         
Vardas103      Pavarde103     4         2         6         9         3         6         
Vardas104      Pavarde104     1         8         1         4         9         6         
Vardas105      Pavarde105     5         4         4         9         2         7         
Vardas106      Pavarde106     1         1         10        10        4         4         
Vardas107      Pavarde107     3         5         3         8         1         7         
Vardas108      Pavarde108     8         9         8         9         6         2         
Vardas109      Pavarde109     2         9         9         10        8         9         
Vardas110      Pavarde110     4         4         9         10        10        5         
Vardas111      Pavarde111     7         2         7         8         10        9         
Vardas112      Pavarde112     9         1         1         8         3         5         
Vardas113      Pavarde113     8         8         5         9         9         3         
Vardas114      Pavarde114     3         3         5         7         7         3         
