Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1        Pavarde1       1         7         10        2         8         1         
Vardas2        Pavarde2       9         6         10        5         4         9         
Vardas3        Pavarde3       6         2         2         7         10        2         
Vardas4        Pavarde4       4         10        8         5         3         2         
Vardas5        Pavarde5       1         2         1         7         5         6         
Vardas6        Pavarde6       2         5         1         8         2         9         
Vardas7        Pavarde7       8         6         7         2         4         8         
Vardas8        Pavarde8       5         4         6         2         3         6         
Vardas9        Pavarde9       1         2         2         10        7         5         
Vardas10       Pavarde10      8         5         1         1         5         8         
Vardas11       Pavarde11      4         8         5         9         3         10        
Vardas12       Pavarde12      2         2         8         9         6         10        
Vardas13       Pavarde13      5         6         4         8         3         3         
Vardas14       Pavarde14      8         2         8         1         4         3         
Vardas15       Pavarde15      6         1         3         7         3         3         
Vardas16       Pavarde16      4         8         5         5         9         3         
Vardas17       Pavarde17      5         8         3         1         9         5         
Vardas18       Pavarde18      4         5         5         5         8         10        
Vardas19       Pavarde19      5         1         3         8         9         6         
Vardas20       Pavarde20      8         6         7         2         7         9         
Vardas21       Pavarde21      5         6         3         1         5         10        
Vardas22       Pavarde22      1         9         9         10        10        10        
Vardas23       Pavarde23      4         5         10        4         8         2         
Vardas24       Pavarde24      2         1         9         7         6         4         
Vardas25       Pavarde25      8         8         6         2         6         8         
Vardas26       Pavarde26      3         4         10        7         2         7         
Vardas27       Pavarde27      5         6         9         2         3         1         
Vardas28       Pavarde28      7         10        3         1         7         9         
Vardas29       Pavarde29      5         10        10        10        8         8         
Vardas30       Pavarde30      1         9         2         7         2         10        
Vardas31       Pavarde31      7         5         2         1         9         9         
Vardas32       Pavarde32      8         4         8         3         2         10        
Vardas33       Pavarde33      8         6         2         2         7         1         
Vardas34       Pavarde34      4         5         8         7         7         8         
Vardas35       Pavarde35      8         1         10        5         5         2         
Vardas36       Pavarde36      6         8         9         10        1         3         
Vardas37       Pavarde37      9         9         4         1         7         2         
Vardas38       Pavarde38      10        5         6         5         6         2         
Vardas39       Pavarde39      10        7         4         3         4         8         
Vardas40       Pavarde40      2         1         6         8         5         4         
Vardas41       Pavarde41      10        3         6         9         5         6         
Vardas42       Pavarde42      10        4         5         9         3         5         
Vardas43       Pavarde43      6         9         7         6         5         3         
Vardas44       Pavarde44      10        10        4         5         1         10        
Vardas45       Pavarde45      2         3         3         6         4         9         
Vardas46       Pavarde46      6         3         6         1         10        9         
Vardas47       Pavarde47      8         5         6         2         7         9         
Vardas48       Pavarde48      8         3         5         2         6         9         
Vardas49       Pavarde49      8         4         3         3         7         9         
Vardas50       Pavarde50      5         8         10        9         2         5         
Vardas51       Pavarde51      3         1         5         5         2         9         
Vardas52       Pavarde52      6         2         7         10        10        3         
Vardas53       Pavarde53      6         6         5         5         10        6         
Vardas54       Pavarde54      8         8         4         9         8         4         
Vardas55       Pavarde55      1         8         7         7         8         5         
Vardas56       Pavarde56      7         9         9         8         9         10        
Vardas57       Pavarde57      6         6         5         3         9         5         
Vardas58       Pavarde58      6         2         10        2         4         5         
Vardas59       Pavarde59      6         9         8         2         9         2         
Vardas60       Pavarde60      1         10        4         2         9         10        
Vardas61       Pavarde61      6         2         9         1         8         1         
Vardas62       Pavarde62      8         2         2         5         5         2         
Vardas63       Pavarde63      4         1         8         6         8         6         
Vardas64       Pavarde64      5         3         2         4         6         10        
Vardas65       Pavarde65      3         5         2         5         1         8         
Vardas66       Pavarde66      3         7         4         6         9         4         
Vardas67       Pavarde67      7         2         10        6         4         10        
Vardas68       Pavarde68      5         7         2         7         6         9         
Vardas69       Pavarde69      1         2         10        4         3         3         
Vardas70       Pavarde70      10        2         10        3         8         9         
Vardas71       Pavarde71      4         4         10        6         4         4         
Vardas72       Pavarde72      2         4         8         3         1         6         
Vardas73       Pavarde73      2         6         7         7         9         3         
Vardas74       Pavarde74      10        8         6         3         8         10        
Vardas75       Pavarde75      3         8         9         8         5         8         
Vardas76       Pavarde76      10        2         6         1         8         7         
Vardas77       Pavarde77      5         1         8         3         4         3         
Vardas78       Pavarde78      2         1         7         2         9         5         
Vardas79       Pavarde79      3         10        3         8         2         10        
Vardas80       Pavarde80      10        7         6         6         8         5         
Vardas81       Pavarde81      2         3         2         6         8         9         
Vardas82       Pavarde82      10        4         4         2         5         1         
Vardas83       Pavarde83      1         3         3         9         5         1         
Vardas84       Pavarde84      4         8         9         2         10        10        
Vardas85       Pavarde85      9         8         6         6         10        6         
Vardas86       Pavarde86      6         6         10        4         1         8         
Vardas87       Pavarde87      3         9         4         1         7         9         
Vardas88       Pavarde88      10        1         6         10        6         10        
Vardas89       Pavarde89      7         9         8         3         8         10        
Vardas90       Pavarde90      10        1         9         2         1         10        
Vardas91       Pavarde91      1         1         7         5         3         10        
Vardas92       Pavarde92      6         7         3         9         1         6         
Vardas93       Pavarde93      6         10        6         8         4         4         
Vardas94       Pavarde94      8         3         4         8         8         1         
Vardas95       Pavarde95      9         9         7         7         8         6         
Vardas96       Pavarde96      7         5         5         6         1         2         
Vardas97       Pavarde97      6         8         3         7         8         8         
Vardas98       Pavarde98      2         8         7         4         9         5         
Vardas99       Pavarde99      6         5         6         4         1         5         
Vardas100      Pavarde100     2         1         8         7         5         8         
Vardas101      Pavarde101     8         4         4         6         9         2         
Vardas102      Pavarde102     6         4         1         6         7         5         
Vardas103      Pavarde103     10        9         8         5         5         6         
Vardas104      Pavarde104     9         5         3         9         10        7         
Vardas105      Pavarde105     4         7         2         2         9         9         
Vardas106      Pavarde106     6         9         2         10        7         1         
Vardas107      Pavarde107     3         7         3         5         3         3         
Vardas108      Pavarde108     3         9         1         6         2         7         
Vardas109      Pavarde109     5         7         2         1         1         3         
Vardas110      Pavarde110     7         5         1         3         6         3         
Vardas111      Pavarde111     7         1         3         5         10        7         
Vardas112      Pavarde112     9         1         10        8         1         4         
Vardas113      Pavarde113     8         6         3         4         7         3         
Vardas114      Pavarde114     10        8         4         3         3         9         
Vardas115      Pavarde115     6         3         9         4         3         2         
Vardas116      Pavarde116     3         1         5         1         3         4         
Vardas117      Pavarde117     10        9         10        4         6         2         
Vardas118      Pavarde118     9         2         10        5         2         3         
Vardas119      Pavarde119     6         5         5         1         7         7         
Vardas120      Pavarde120     8         1         4         4         4         1         
Vardas121      Pavarde121     5         4         5         3         2         5         
Vardas122      Pavarde122     7         2         2         1         3         1         
Vardas123      Pavarde123     6         5         3         4         6         7         
Vardas124      Pavarde124     5         10        9         2         7         5         
Vardas125      Pavarde125     8         10        1         7         4         5         
Vardas126      Pavarde126     5         8         9         5         3         5         
Vardas127      Pavarde127     9         9         1         2         1         4         
Vardas128      Pavarde128     1         6         5         1         2         10        
Vardas129      Pavarde129     4         10        1         1         4         6         
Vardas130      Pavarde130     2         10        7         1         9         6         
Vardas131      Pavarde131     7         1         7         1         1         4         
Vardas132      Pavarde132     7         1         9         5         2         9         
Vardas133      Pavarde133     8         1         8         10        5         7         
Vardas134      Pavarde134     6         9         1         6         8         5         
Vardas135      Pavarde135     7         3         8         3         8         9         
Vardas136      Pavarde136     8         9         9         2         7         6         
Vardas137      Pavarde137     1         2         6         3         6         7         
Vardas138      Pavarde138     1         2         1         1         5         5         
Vardas139      Pavarde139     8         5         3         2         7         5         
Vardas140      Pavarde140     7         1         10        8         7         3         
Vardas141      Pavarde141     6         7         2         5         10        3         
Vardas142      Pavarde142     5         5         5         10        10        9         
Vardas143      Pavarde143     3         3         9         9         2         1         
Vardas144      Pavarde144     8         10        8         5         3         3         
Vardas145      Pavarde145     4         5         3         5         10        3         
Vardas146      Pavarde146     3         7         6         2         6         6         
Vardas147      Pavarde147     10        4         5         7         6         9         
Vardas148      Pavarde148     1         2         10        5         1         7         
Vardas149      Pavarde149     9         7         6         10        5         2         
Vardas150      Pavarde150     4         1         6         8         4         6         
Vardas151      Pavarde151     3         4         4         9         8         3         
Vardas152      Pavarde152     2         7         8         5         10        2         
Vardas153      Pavarde153     2         3         6         6         1         9         
Vardas154      Pavarde154     10        9         10        3         9         3         
Vardas155      Pavarde155     5         10        1         10        5         8         
Vardas156      Pavarde156     1         5         5         6         6         7         
Vardas157      Pavarde157     2         6         3         10        1         7         
Vardas158      Pavarde158     2         1         4         8         6         4         
Vardas159      Pavarde159     9         9         10        2         6         4         
Vardas160      Pavarde160     9         2         10        3         2         4         
Vardas161      Pavarde161     4         2         5         7         8         4         
Vardas162      Pavarde162     8         4         5         7         1         1         
Vardas163      Pavarde163     3         7         6         3         7         8         
Vardas164      Pavarde164     3         5         1         10        8         6         
Vardas165      Pavarde165     5         5         5         8         7         1         
Vardas166      Pavarde166     6         6         9         9         1         4         
Vardas167      Pavarde167     10        5         7         8         7         5         
Vardas168      Pavarde168     8         8         3         1         3         10        
Vardas169      Pavarde169     2         6         4         6         3         1         
Vardas170      Pavarde170     2         1         8         3         8         5         
Vardas171      Pavarde171     4         3         2         3         2         8         
Vardas172      Pavarde172     8         5         3         8         5         4         
Vardas173      Pavarde173     10        10        9         7         1         3         
Vardas174      Pavarde174     1         3         2         5         10        1         
Vardas175      Pavarde175     4         4         4         8         9         10        
Vardas176      Pavarde176     10        8         9         3         2         8         
Vardas177      Pavarde177     10        8         6         6         8         1         
Vardas178      Pavarde178     4         3         2         4         9         9         
Vardas179      Pavarde179     9         7         9         8         5         1         
Vardas180      Pavarde180     1         8         7         3         2         5         
Vardas181      Pavarde181     7         1         6         2         6         8         
Vardas182      Pavarde182     9         7         10        9         2         3         
Vardas183      Pavarde183     5         4         10        8         9         1         
Vardas184      Pavarde184     4         3         7         5         7         6         
Vardas185      Pavarde185     3         10        1         9         9         10        
Vardas186      Pavarde186     5         2         5         1         5         10        
Vardas187      Pavarde187     2         7         3         3         3         3         
Vardas188      Pavarde188     6         5         2         7         9         10        
Vardas189      Pavarde189     8         4         10        5         2         9         
Vardas190      Pavarde190     10        4         8         2         9         2         
Vardas191      Pavarde191     6         1         7         4         3         6         
Vardas192      Pavarde192     8         7         1         6         5         9         
Vardas193      Pavarde193     7         10        1         3         8         7         
Vardas194      Pavarde194     2         7         7         7         5         6         
Vardas195      Pavarde195     8         10        4         3         2         5         
Vardas196      Pavarde196     4         9         5         9         4         2         
Vardas197      Pavarde197     8         7         8         2         9         3         
Vardas198      Pavarde198     3         5         5         9         9         1         
Vardas199      Pavarde199     9         6         6         2         3         2         
Vardas200      Pavarde200     1         5         3         1         8         8         
Vardas201      Pavarde201     9         8         7         7         10        7         
Vardas202      Pavarde202     10        7         7         2         10        4         
Vardas203      Pavarde203     8         7         7         3         10        1         
Vardas204      Pavarde204     10        1         9         4         8         1         
